source_type,identifier,link,paper_relevance,platform,github_stars,readme_present,docs_folder,wiki_present,external_docs_link,primary_doc_location,doc_level,docs_url,tool_notes,domain,domain_justification,interaction_level,interaction_justification,threat_model,threat_model_justification,irb_mentioned,irb_justification,consent_model,consent_justification,data_types_collected,data_types_justification,protocols_ports,protocols_justification,data_sensitivity,data_sensitivity_justification,data_minimization,data_minimization_justification,data_retention_policy,data_retention_justification,data_sharing,data_sharing_justification,jurisdiction_legal,jurisdiction_justification,containment_measures,containment_justification,deception_framing,deception_justification,researcher_responsibility,researcher_responsibility_justification,ethical_gaps,ethical_gaps_justification,relevance_to_project,relevance_justification,deployment,deployment_justification,no_external_deployment
Non-Scientific,DShield docker,https://github.com/xme/dshield-docker,,GitHub,6,Yes,No,No,No,README,Minimal,N/A,README only; Docker container wrapping Cowrie with DShield output enabled.,IT,Docker container wrapping Cowrie SSH honeypot with DShield output enabled for threat sharing.,Low,Cowrie-based SSH honeypot in Docker configured to submit data to DShield threat intelligence.,SSH brute-force bots; same as Cowrie.,README describes Docker deployment of Cowrie with DShield integration.,No,Not available,None,Not documented,"Cowrie SSH credentials and logs, submitted to DShield threat intelligence platform",DShield integration automatically submits captured attack data to external platform.,SSH (22),Standard SSH port.,Medium,SSH credentials and session data automatically submitted to external DShield platform.,Not discussed,Not documented,Not discussed,Not documented,Data submitted to DShield external threat intelligence platform,DShield integration automatically shares captured attack data externally.,Not discussed,Not documented,Not documented,Not documented,Purely technical,Not documented,Not documented,Not documented,Auto-submission to DShield without documented privacy policy for submitted IP/credential data; no IRB.,Automatic third-party data submission without documented governance.,Moderate relevance; threat intelligence sharing via external platform raises data governance questions applicable to HoneySat.,External threat data sharing model relevant to HoneySat intelligence pipeline design.,Not documented,Not documented,Not documented
Non-Scientific,endlessh,https://github.com/skeeto/endlessh,,GitHub,6800,Yes,No,No,No,README,Minimal,N/A,README only; SSH tarpit that sends an endless banner.,IT,SSH tarpit sending endless random banner data to trap and waste attacker resources.,Low,Sends infinitely slow SSH banner to trap automated SSH scanners; no real SSH emulation.,Automated SSH scanners and brute-force bots.,README describes SSH tarpit mechanism.,No,Not available,None,Not documented,"Attacker IP addresses, connection timestamps, duration metrics",Not documented.,SSH (22 or configured),SSH port; configurable.,Low,IP addresses and timing metadata; no credentials or content captured.,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented,Not documented,Purely technical,Not documented,Not documented,Not documented,No IRB; tarpit approach creates resource waste for connecting bots — active harm dimension not discussed.,Not documented,Low relevance.,No HoneySat/CPS relevance.,Not documented,Not documented,Not documented
Non-Scientific,HonSSH,https://github.com/tnich/honssh,,GitHub,326,Yes,No,No,No,README,Minimal,N/A,README only; SSH MITM honeypot logging all communications.,IT,SSH MITM honeypot logging all SSH communications between attacker and backend.,High,High-interaction SSH MITM: relays sessions to real or emulated backend while logging all traffic.,Targeted attackers using SSH for remote access and post-exploitation.,README describes SSH MITM logging architecture.,No,Not available,None,Not documented,"Full SSH session data, keystrokes, commands, file transfers, attacker IPs, credentials",README describes logging all SSH communications via MITM.,SSH (22),Standard SSH port.,High,Full SSH session capture including keystrokes and file transfers; high sensitivity if proxied to real backend.,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented; MITM to real backend creates data exposure risk.,MITM architecture risks exposing real backend data if operator connects real system.,Purely technical,Not documented,Not documented,Not documented,High-interaction SSH MITM with no data governance; real backend exposure risk; no IRB.,Not documented,HIGH relevance to HoneySat ethics: SSH MITM with full session capture parallels HoneySat command channel interception design — same ethics risks as pyrdp.,Full-session SSH MITM is a key design pattern for HoneySat command channel honeypot.,Not documented,Not documented,Not documented
Non-Scientific,HUDINX,https://github.com/Cryptix720/HUDINX,,GitHub,8,Yes,No,No,No,README,Minimal,N/A,README only; tiny SSH honeypot in Python logging brute force attempts.,IT,Tiny SSH honeypot in Python logging brute-force credential attempts.,Low,Minimal SSH emulation; logs credential attempts only.,Automated SSH brute-force bots.,README only.,No,Not available,None,Not documented,"Attacker IP addresses, SSH credentials",Not documented.,SSH (22),Standard SSH port.,Low,Credential metadata only.,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented,Not documented,Purely technical,Not documented,Not documented,Not documented,No IRB; minimal tool.,Not documented,Low relevance.,No HoneySat/CPS relevance.,Not documented,Not documented,Not documented
Non-Scientific,Kippo,https://github.com/desaster/kippo,,GitHub,1500,Yes,No,Yes,No,Wiki,Moderate,https://github.com/desaster/kippo/wiki,"README + GitHub Wiki confirmed (Running Kippo, FAQ, MakingKippoReachable pages).",IT,Classic medium-interaction SSH honeypot with fake filesystem and shell emulation; GitHub Wiki documented.,Medium,"Medium-interaction: fake filesystem, configurable shell responses; GitHub Wiki documents setup and usage.",SSH brute-force bots and attackers performing post-exploitation in fake shell environment.,"README and GitHub Wiki (Running Kippo, FAQ, MakingKippoReachable) document setup.",No,Not available,None,Not documented,"Attacker IP addresses, SSH credentials, all shell commands, fake filesystem interactions, session logs",Wiki documents comprehensive session logging.,"SSH (22, 2222)",Standard and alternate SSH ports; documented in Wiki.,Medium,Full shell session data and credentials; medium sensitivity.,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented,Not documented,Purely technical,Not documented,Not documented,Not documented,No IRB; foundational medium-interaction SSH honeypot with known fingerprinting weaknesses (kippo_detect); no ethics governance.,Not documented,HIGH relevance; Kippo established the medium-interaction SSH honeypot paradigm — predecessor to Cowrie; fingerprinting weakness demonstrated by kippo_detect is directly relevant to HoneySat evasion design.,Kippo fingerprinting vulnerability is a foundational case study for HoneySat authenticity requirements.,Not documented,Not documented,Not documented
Non-Scientific,Kippo_JunOS,https://github.com/gregcmartin/Kippo_JunOS,,GitHub,10,Yes,No,No,No,README,Minimal,N/A,README only; Kippo configured as backdoored Netscreen device.,IT,Kippo configured to emulate a backdoored Juniper NetScreen network device.,Medium,Medium-interaction Kippo fork emulating Juniper NetScreen SSH interface with backdoor simulation.,Attackers targeting Juniper networking equipment via the known NetScreen backdoor.,README describes Kippo-based NetScreen device emulation.,No,Not available,None,Not documented,"Attacker IP addresses, SSH credentials, NetScreen-style command interactions",Not documented.,SSH (22),Standard SSH port.,Medium,SSH credential and command session data; medium sensitivity.,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented,Not documented,Purely technical,Not documented,Not documented,Not documented,No IRB; minimal tool.,Not documented,Low relevance.,No HoneySat/CPS relevance.,Not documented,Not documented,Not documented
Non-Scientific,Kojoney2,https://github.com/madirish/kojoney2,,GitHub,35,Yes,Yes,No,No,Docs Folder,Minimal,N/A,README + /docs/man/ folder confirmed (man page documentation).,IT,SSH honeypot with man page documentation in /docs/man/ folder.,Low,Low-interaction SSH honeypot with man page documentation.,Automated SSH brute-force bots.,README and /docs/man/ folder with man page.,No,Not available,None,Not documented,"Attacker IP addresses, SSH credentials",Not documented.,SSH (22),Standard SSH port.,Low,Credential metadata only.,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented,Not documented,Purely technical,Not documented,Not documented,Not documented,No IRB; minimal tool.,Not documented,Low relevance.,No HoneySat/CPS relevance.,Not documented,Not documented,Not documented
Non-Scientific,Kojoney,http://kojoney.sourceforge.net,,SourceForge,N/A,No,No,No,Yes,External,Minimal,http://kojoney.sourceforge.net,SourceForge-hosted project; no GitHub repo — external site is the only documentation.,IT,SSH honeypot hosted on SourceForge; external site is only documentation.,Low,Low-interaction SSH honeypot; SourceForge-hosted project only.,Automated SSH brute-force bots.,SourceForge external site only.,No,Not available,None,Not documented,"Attacker IP addresses, SSH credentials",Not documented.,SSH (22),Standard SSH port.,Low,Credential metadata only.,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented,Not documented,Purely technical,Not documented,Not documented,Not documented,No IRB; outdated SourceForge project.,Not documented,Low relevance.,No HoneySat/CPS relevance.,Not documented,Not documented,Not documented
Non-Scientific,Malbait,https://github.com/batchmcnulty/Malbait,,GitHub,14,Yes,No,No,No,README,Moderate,N/A,README only but extensive; TCP/UDP honeypot in Perl covering 14 services on default or custom ports.,IT,Extensive Perl TCP/UDP honeypot covering 14 services; detailed README.,Low,Low-interaction Perl honeypot emulating 14 services on default or custom ports; detailed README.,Generic internet automated scanners across 14 service types.,Extensive README documents 14 supported services.,No,Not available,None,Not documented,"Attacker IP addresses, service interaction logs across 14 emulated services",README documents service coverage.,"SSH (22), FTP (21), HTTP (80), Telnet (23), SMTP (25) and 9 more",README lists all 14 supported services.,Low,Multi-service interaction metadata; no personal user data.,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented,Not documented,Purely technical,Not documented,Not documented,Not documented,No IRB; 14-service coverage without governance documentation.,Not documented,Low relevance.,No HoneySat/CPS relevance.,Not documented,Not documented,Not documented
Non-Scientific,MockSSH,https://github.com/ncouture/MockSSH,,GitHub,99,Yes,No,No,No,README,Minimal,N/A,README only; mock SSH server defining custom commands using Python and Twisted.,IT,Mock SSH server using Python and Twisted allowing custom command definition.,Low,Emulates SSH server with user-defined command responses; useful for testing and honeypot customisation.,Automated SSH scanners and attackers executing shell commands.,README describes Twisted-based mock SSH with custom commands.,No,Not available,None,Not documented,"Attacker IP addresses, SSH credentials, shell commands executed",Not documented.,SSH (22),Standard SSH port.,Low,SSH credential and command metadata.,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented,Not documented,Purely technical,Not documented,Not documented,Not documented,No IRB; minimal tool.,Not documented,Low relevance.,No HoneySat/CPS relevance.,Not documented,Not documented,Not documented
Non-Scientific,go-sshoney,https://github.com/ashmckenzie/go-sshoney,,GitHub,18,Yes,No,No,No,README,Minimal,N/A,README only; SSH honeypot written in Go.,IT,SSH honeypot written in Go logging brute-force attempts.,Low,Simple Go SSH honeypot logging credential attempts.,Automated SSH brute-force bots.,README only.,No,Not available,None,Not documented,"Attacker IP addresses, SSH credentials",Not documented.,SSH (22),Standard SSH port.,Low,Credential metadata only.,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented,Not documented,Purely technical,Not documented,Not documented,Not documented,No IRB; minimal tool.,Not documented,Low relevance.,No HoneySat/CPS relevance.,Not documented,Not documented,Not documented
Non-Scientific,go0r,https://github.com/fzerorubigd/go0r,,GitHub,16,Yes,No,No,No,README,Minimal,N/A,README only; simple SSH honeypot in Golang with TOML config.,IT,Simple SSH honeypot in Golang with TOML configuration.,Low,TOML-configured Go SSH honeypot logging credential attempts.,Automated SSH brute-force bots.,README only.,No,Not available,None,Not documented,"Attacker IP addresses, SSH credentials",Not documented.,SSH (22),Standard SSH port.,Low,Credential metadata only.,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented,Not documented,Purely technical,Not documented,Not documented,Not documented,No IRB; minimal tool.,Not documented,Low relevance.,No HoneySat/CPS relevance.,Not documented,Not documented,Not documented
Non-Scientific,gohoney,https://github.com/PaulMaddox/gohoney,,GitHub,19,Yes,No,No,No,README,Minimal,N/A,README only; SSH honeypot written in Go.,IT,SSH honeypot written in Go.,Low,Simple Go SSH honeypot logging credential attempts.,Automated SSH brute-force bots.,README only.,No,Not available,None,Not documented,"Attacker IP addresses, SSH credentials",Not documented.,SSH (22),Standard SSH port.,Low,Credential metadata only.,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented,Not documented,Purely technical,Not documented,Not documented,Not documented,No IRB; minimal tool.,Not documented,Low relevance.,No HoneySat/CPS relevance.,Not documented,Not documented,Not documented
Non-Scientific,hived,https://github.com/sahilm/hived,,GitHub,29,Yes,No,No,No,README,Minimal,N/A,README only; Golang-based SSH honeypot.,IT,Golang-based SSH honeypot.,Low,Go SSH honeypot logging credential attempts.,Automated SSH brute-force bots.,README only.,No,Not available,None,Not documented,"Attacker IP addresses, SSH credentials",Not documented.,SSH (22),Standard SSH port.,Low,Credential metadata only.,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented,Not documented,Purely technical,Not documented,Not documented,Not documented,No IRB; minimal tool.,Not documented,Low relevance.,No HoneySat/CPS relevance.,Not documented,Not documented,Not documented
Non-Scientific,hnypots-agent,https://github.com/joshrendek/hnypots-agent,,GitHub,54,Yes,No,No,No,README,Minimal,N/A,README only; SSH server in Go logging username/password combination attempts.,IT,Go SSH server logging username/password combination attempts.,Low,SSH honeypot focused on credential capture; logs all authentication attempts.,Automated SSH credential stuffing bots.,README only.,No,Not available,None,Not documented,"Attacker IP addresses, SSH username/password pairs",README describes credential capture.,SSH (22),Standard SSH port.,Low,Credential pairs captured; low sensitivity.,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented,Not documented,Purely technical,Not documented,Not documented,Not documented,No IRB; minimal credential logger.,Not documented,Low relevance.,No HoneySat/CPS relevance.,Not documented,Not documented,Not documented
Non-Scientific,honeypot.go,https://github.com/mdp/honeypot.go,,GitHub,21,Yes,No,No,No,README,Minimal,N/A,README only; SSH honeypot written in Go.,IT,SSH honeypot written in Go.,Low,Simple Go SSH honeypot.,Automated SSH brute-force bots.,README only.,No,Not available,None,Not documented,"Attacker IP addresses, SSH credentials",Not documented.,SSH (22),Standard SSH port.,Low,Credential metadata only.,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented,Not documented,Purely technical,Not documented,Not documented,Not documented,No IRB; minimal tool.,Not documented,Low relevance.,No HoneySat/CPS relevance.,Not documented,Not documented,Not documented
Non-Scientific,honeyssh,https://github.com/ppacher/honeyssh,,GitHub,34,Yes,No,No,No,README,Minimal,N/A,README only; credential-dumping SSH honeypot with statistics HTTP API.,IT,Credential-dumping SSH honeypot with statistics HTTP API.,Low,SSH honeypot exposing captured credentials via an HTTP statistics API.,Automated SSH brute-force bots.,README describes credential capture and statistics API.,No,Not available,None,Not documented,"Attacker IP addresses, SSH credentials exposed via HTTP API",README describes HTTP API exposing captured statistics.,"SSH (22), HTTP (API port)",SSH honeypot with companion HTTP API.,Medium,Captured credentials exposed via HTTP API — access control for API not documented; medium sensitivity.,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented; HTTP API exposing credentials without access control documentation.,Credentials exposed via HTTP API without documented authentication or access control.,Purely technical,Not documented,Not documented,Not documented,Exposes captured credentials via unsecured HTTP API; no IRB; credential data access control not documented.,Not documented,Low relevance.,No HoneySat/CPS relevance.,Not documented,Not documented,Not documented
Non-Scientific,hornet,https://github.com/czardoz/hornet,,GitHub,116,Yes,No,No,No,README,Minimal,N/A,README only; medium interaction SSH honeypot supporting multiple virtual hosts.,IT,Medium-interaction SSH honeypot supporting multiple virtual hosts.,Medium,Supports multiple virtual host environments allowing more realistic attacker interaction.,Advanced SSH attackers performing reconnaissance across multiple virtual environments.,README describes multi-virtual-host SSH honeypot.,No,Not available,None,Not documented,"Attacker IP addresses, SSH credentials, shell commands across virtual hosts",Not documented.,SSH (22),Standard SSH port.,Medium,Shell session data across virtual hosts; medium sensitivity.,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented,Not documented,Purely technical,Not documented,Not documented,Not documented,No IRB; medium-interaction with no governance documentation.,Not documented,Low relevance.,No HoneySat/CPS relevance.,Not documented,Not documented,Not documented
Non-Scientific,ssh-auth-logger,https://github.com/JustinAzoff/ssh-auth-logger,,GitHub,234,Yes,No,No,No,README,Minimal,N/A,README only; low/zero interaction SSH authentication logging honeypot in Go.,IT,Low/zero-interaction SSH authentication logging honeypot in Go.,Low,Logs only SSH authentication attempts; minimal interaction beyond credential capture.,Automated SSH brute-force bots.,README describes zero-interaction auth logging.,No,Not available,None,Not documented,"Attacker IP addresses, SSH usernames, passwords",Not documented.,SSH (22),Standard SSH port.,Low,Credential metadata only.,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented,Not documented,Purely technical,Not documented,Not documented,Not documented,No IRB; minimal credential logger.,Not documented,Low relevance.,No HoneySat/CPS relevance.,Not documented,Not documented,Not documented
Non-Scientific,ssh-honeypot (droberson),https://github.com/droberson/ssh-honeypot,,GitHub,690,Yes,No,No,No,README,Minimal,N/A,"README only; fake sshd in C that logs IP addresses, usernames, and passwords.",IT,"Fake sshd in C that logs IP addresses, usernames, and passwords.",Low,C-based fake SSH daemon logging credential attempts.,Automated SSH brute-force bots.,README describes C sshd implementation.,No,Not available,None,Not documented,"Attacker IP addresses, SSH usernames, passwords",README describes credential logging.,SSH (22),Standard SSH port.,Low,Credential metadata only.,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented,Not documented,Purely technical,Not documented,Not documented,Not documented,No IRB; minimal tool.,Not documented,Low relevance.,No HoneySat/CPS relevance.,Not documented,Not documented,Not documented
Non-Scientific,sshd-honeypot (amv42),https://github.com/amv42/sshd-honeypot,,GitHub,29,Yes,No,No,No,README,Minimal,N/A,README only; modified OpenSSH daemon that forwards commands to Cowrie.,IT,Modified OpenSSH daemon forwarding commands to Cowrie for realistic interaction.,Medium,Uses real OpenSSH daemon modified to forward to Cowrie backend; more realistic than emulation.,Advanced SSH attackers who can detect simple honeypots.,README describes modified OpenSSH + Cowrie forwarding.,No,Not available,None,Not documented,"Full SSH session data forwarded to Cowrie, credentials, all commands",Real OpenSSH daemon captures full session before forwarding to Cowrie.,SSH (22),Standard SSH port.,Medium,Full SSH session capture via real OpenSSH; medium sensitivity.,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented,Not documented,Purely technical,Not documented,Not documented,Not documented,No IRB; uses real OpenSSH daemon — higher authenticity but no governance documentation.,Not documented,Moderate relevance; real-daemon-based honeypot approach applicable to HoneySat command system authenticity design.,Using real protocol implementation for honeypot authenticity is directly relevant to HoneySat design.,Not documented,Not documented,Not documented
Non-Scientific,ssh-honeypotd,https://github.com/sjinks/ssh-honeypotd,,GitHub,68,Yes,No,No,No,README,Minimal,N/A,README only; low-interaction SSH honeypot written in C.,IT,Low-interaction SSH honeypot daemon written in C.,Low,C daemon emulating SSH; logs credential attempts.,Automated SSH brute-force bots.,README only.,No,Not available,None,Not documented,"Attacker IP addresses, SSH credentials",Not documented.,SSH (22),Standard SSH port.,Low,Credential metadata only.,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented,Not documented,Purely technical,Not documented,Not documented,Not documented,No IRB; minimal tool.,Not documented,Low relevance.,No HoneySat/CPS relevance.,Not documented,Not documented,Not documented
Non-Scientific,sshForShits,https://github.com/traetox/sshForShits,,GitHub,79,Yes,No,No,Yes,README,Minimal,https://github.com/remasis/sshForShitsGooey,README + links to companion web frontend (sshForShitsGooey); high interaction SSH honeypot framework.,IT,High-interaction SSH honeypot framework with companion web frontend (sshForShitsGooey).,High,High-interaction SSH framework; attacker sessions forwarded to real or containerized backend.,Advanced SSH attackers performing post-exploitation in real system environment.,README and linked sshForShitsGooey web frontend document high-interaction design.,No,Not available,None,Not documented,"Full SSH session data, keystrokes, commands, file transfers, attacker IPs, credentials",High-interaction design captures full session data.,SSH (22),Standard SSH port.,High,Full SSH session capture; high sensitivity if proxied to real backend.,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented; high-interaction design without documented containment.,No guidance on backend isolation for high-interaction SSH sessions.,Purely technical,Not documented,Not documented,Not documented,High-interaction SSH with no governance; backend isolation not documented; no IRB.,Not documented,Moderate relevance; high-interaction SSH honeypot ethics applicable to HoneySat command channel design.,High-interaction design raises same ethics concerns as pyrdp for satellite command systems.,Not documented,Not documented,Not documented
Non-Scientific,sshesame,https://github.com/jaksi/sshesame,,GitHub,1300,Yes,No,No,No,README,Moderate,N/A,"README only but detailed; fake SSH server with Docker images, config file, and multi-platform binaries.",IT,"Fake SSH server with Docker images, configuration file, and multi-platform binaries; detailed README.",Low,"Detailed README documents Docker deployment, configuration, and multi-platform binary usage.",Automated SSH brute-force bots and attackers.,"Detailed README documents Docker images, config, and binary usage.",No,Not available,None,Not documented,"Attacker IP addresses, SSH credentials, commands attempted",Not documented.,SSH (22),Standard SSH port.,Low,Credential and command metadata.,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented,Not documented,Purely technical,Not documented,Not documented,Not documented,No IRB; well-documented but no ethics governance.,Not documented,Low relevance.,No HoneySat/CPS relevance.,Not documented,Not documented,Not documented
Non-Scientific,sshhipot,https://github.com/magisterquis/sshhipot,,GitHub,121,Yes,No,No,No,README,Minimal,N/A,README only; high-interaction MitM SSH honeypot in Go.,IT,High-interaction MitM SSH honeypot in Go proxying to real backend.,High,High-interaction SSH MITM: proxies full sessions to real backend; captures everything.,Advanced SSH attackers; captures full session via transparent MITM proxy.,README describes Go-based SSH MITM architecture.,No,Not available,None,Not documented,"Full SSH session data, keystrokes, commands, file transfers, credentials, proxied backend traffic",MITM design captures complete session including proxied backend responses.,SSH (22),Standard SSH port.,High,Full MITM session capture; real backend exposure risk; high sensitivity.,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented; MITM to real backend creates containment and data exposure risk.,Real backend connection without documented isolation guidance.,Purely technical,Not documented,Not documented,Not documented,High-interaction SSH MITM with no governance; real backend exposure; same risk profile as HonSSH and pyrdp; no IRB.,Not documented,HIGH relevance to HoneySat ethics: SSH MITM pattern is directly applicable to satellite command channel honeypot design — same data governance requirements as pyrdp.,MITM SSH honeypot ethics are directly applicable to HoneySat satellite command channel interception design.,Not documented,Not documented,Not documented
Non-Scientific,sshlowpot,https://github.com/magisterquis/sshlowpot,,GitHub,72,Yes,No,No,No,README,Minimal,N/A,README only; no-frills low-interaction SSH honeypot in Go with PF/iptables examples.,IT,No-frills low-interaction SSH honeypot in Go with PF/iptables routing examples.,Low,Minimal Go SSH honeypot with firewall configuration examples.,Automated SSH brute-force bots.,README includes PF/iptables examples.,No,Not available,None,Not documented,"Attacker IP addresses, SSH credentials",Not documented.,SSH (22),Standard SSH port.,Low,Credential metadata only.,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented,Not documented,Purely technical,Not documented,Not documented,Not documented,No IRB; minimal tool.,Not documented,Low relevance.,No HoneySat/CPS relevance.,Not documented,Not documented,Not documented
Non-Scientific,sshsyrup,https://github.com/mkishere/sshsyrup,,GitHub,81,Yes,No,No,No,README,Moderate,N/A,README only but detailed; low-to-medium SSH honeypot capturing terminal activity to asciinema.,IT,Low-to-medium SSH honeypot capturing terminal activity to asciinema session recordings.,Medium,Captures full terminal sessions as asciinema recordings; medium interaction with session replay.,SSH attackers performing post-exploitation; attackers interacting with fake shell.,Detailed README documents asciinema session capture.,No,Not available,None,Not documented,"Attacker IP addresses, SSH credentials, full terminal session recordings (asciinema format)",README documents asciinema session recording functionality.,SSH (22),Standard SSH port.,Medium,Full terminal session recordings; medium sensitivity.,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented,Not documented,Purely technical,Not documented,Not documented,Not documented,No IRB; session recordings without data governance documentation.,Asciinema session recordings without retention policy.,Moderate relevance; session recording design applicable to HoneySat command interaction logging.,Session replay capability relevant to HoneySat attacker behavior analysis.,Not documented,Not documented,Not documented
Non-Scientific,twisted-honeypots,https://github.com/lanjelot/twisted-honeypots,,GitHub,92,Yes,No,No,No,README,Minimal,N/A,"README only; SSH, FTP and Telnet honeypots based on Python Twisted framework.",IT,"SSH, FTP, and Telnet honeypots based on Python Twisted framework.",Low,"Twisted-based multi-service honeypot covering SSH, FTP, and Telnet.","Generic internet automated scanners targeting SSH, FTP, and Telnet.",README describes Twisted-based implementation.,No,Not available,None,Not documented,"Attacker IP addresses, credentials across SSH, FTP, Telnet",Not documented.,"SSH (22), FTP (21), Telnet (23)",Standard ports for all three protocols.,Low,Credential metadata across three protocols.,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented,Not documented,Purely technical,Not documented,Not documented,Not documented,No IRB; minimal tool.,Not documented,Low relevance.,No HoneySat/CPS relevance.,Not documented,Not documented,Not documented
Non-Scientific,DShield Web Honeypot Project,https://sites.google.com/site/webhoneypotsite/,,Google Sites,N/A,No,No,No,Yes,External,Moderate,https://sites.google.com/site/webhoneypotsite/,"Google Sites page with FAQ, install guide, and what-it-does pages confirmed; no GitHub repo.",IT,Google Sites-documented web honeypot project contributing data to DShield/SANS threat intelligence.,Low,Web honeypot logging attacks and automatically submitting data to DShield/SANS threat intelligence.,Internet web attackers; data contributes to SANS Internet Storm Center.,"Google Sites page with FAQ, install guide, and project description confirmed.",No,Not available,None,Not documented,"Attacker IP addresses, HTTP request logs submitted to DShield/SANS",Google Sites documents automatic data submission to DShield.,HTTP (80),Standard web port.,Low,HTTP metadata submitted to external DShield platform.,Not discussed,Not documented,Not discussed,Not documented,Data automatically submitted to DShield/SANS Internet Storm Center,Google Sites page documents DShield data contribution.,Not discussed,Not documented,Not documented,Not documented,Purely technical,Not documented,Not documented,Not documented,Auto-submission to SANS/DShield without documented privacy governance for submitted IP data; no IRB.,Third-party data sharing without documented governance.,Moderate relevance; threat intelligence sharing model applicable to HoneySat data pipeline design.,SANS/DShield integration model relevant to HoneySat threat intelligence contribution framework.,Not documented,Not documented,Not documented
Non-Scientific,HoneyDrive,http://bruteforcelab.com/honeydrive,,Website,N/A,No,No,No,Yes,External,Minimal,http://bruteforcelab.com/honeydrive,BruteForce Lab website only; premier honeypot Linux distro with 10+ pre-installed honeypot packages.,IT,Premier honeypot Linux distribution bundling 10+ pre-installed honeypot packages; BruteForce Lab.,Low,Meta-distribution bundling multiple low-interaction honeypots; documentation via website only.,Internet-wide attackers across all protocols covered by bundled honeypots.,BruteForce Lab website is the only documentation.,No,Not available,None,Not documented,Aggregated from all bundled honeypots; varies by installed packages,Not documented; data collection depends on which bundled honeypots are active.,All ports of all bundled honeypots,Depends on activated honeypot packages.,Low,Aggregated metadata from bundled honeypots.,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented,Not documented,Purely technical,Not documented,Not documented,Not documented,No IRB; meta-distribution with no governance documentation.,Not documented,Low relevance.,No HoneySat/CPS relevance.,Not documented,Not documented,Not documented
